QUERY_ID,QUERY_TEXT,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_ID,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,PERCENTAGE_SCANNED_FROM_CACHE,BYTES_WRITTEN,BYTES_WRITTEN_TO_RESULT,BYTES_READ_FROM_RESULT,ROWS_PRODUCED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,ROWS_UNLOADED,BYTES_DELETED,PARTITIONS_SCANNED,PARTITIONS_TOTAL,BYTES_SPILLED_TO_LOCAL_STORAGE,BYTES_SPILLED_TO_REMOTE_STORAGE,BYTES_SENT_OVER_THE_NETWORK,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,LIST_EXTERNAL_FILES_TIME,CREDITS_USED_CLOUD_SERVICES,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,QUERY_LOAD_PERCENT,IS_CLIENT_GENERATED_STATEMENT,QUERY_ACCELERATION_BYTES_SCANNED,QUERY_ACCELERATION_PARTITIONS_SCANNED,QUERY_ACCELERATION_UPPER_LIMIT_SCALE_FACTOR,TRANSACTION_ID,CHILD_QUERIES_WAIT_TIME,ROLE_TYPE,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION
01b1e821-0001-9eb2-0005-17a2000261d6,show terse ROLES,,,,,SHOW,1433359435841586,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:53:04.69-08:00,2024-01-25T05:53:04.733-08:00,43,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,38,5,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,a1eff756552c33149855db4a6b0d8780,2,a1eff756552c33149855db4a6b0d8780,1
01b1e81b-0001-9d98-0005-17a2000204ae,select sum(usage_in_currency) as currency_used from SNOWFLAKE.ORGANIZATION_USAGE.USAGE_IN_CURRENCY_DAILY where usage_date < TO_TIMESTAMP_LTZ('2024-01-26T00:00:00Z') and usage_date >= TO_TIMESTAMP_LTZ('2024-01-18T00:00:00Z') and account_name = 'XY59539';,,,,,SELECT,1433359435813054,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,Large,STANDARD,1,,SUCCESS,,,2024-01-25T05:47:37.85-08:00,2024-01-25T05:47:39.072-08:00,1222,54642688,1,0,0,0,2,0,0,0,0,0,52,238,0,0,1572463,187,1035,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,100,TRUE,0,0,0,0,0,ROLE,96a9d8b9834f697a548488934a125acd,2,447d85690d109540833e143675a1b0d8,1
01b1e854-0001-9d98-0005-17a20002061e,show DATABASES like 'BIGDATA_PROJECT',,,,,SHOW,1433359435800798,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:44:50.757-08:00,2024-01-25T06:44:50.814-08:00,57,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,38,19,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,d0ee375d860cb6fc1ae130939e410288,2,d0ee375d860cb6fc1ae130939e410288,1
01b1e854-0001-9d84-0005-17a20002329a,show DATABASES like 'COVID19_EPIDEMIOLOGICAL_DATA',,,,,SHOW,1433359435825258,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:44:50.196-08:00,2024-01-25T06:44:50.249-08:00,53,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,23,30,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,1d29e8b00b823439ccde39612730e0e4,2,1d29e8b00b823439ccde39612730e0e4,1
01b1e854-0001-9d84-0005-17a20002329e,show DATABASES like 'COVID19_EPIDEMIOLOGICAL_DATA',,,,,SHOW,1433359435837486,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:44:50.208-08:00,2024-01-25T06:44:50.279-08:00,71,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,45,26,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,1d29e8b00b823439ccde39612730e0e4,2,1d29e8b00b823439ccde39612730e0e4,1
01b1e854-0001-9eb2-0005-17a20002632e,show DATABASES like 'BIGDATA_PROJECT',,,,,SHOW,1433359435825258,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T06:44:50.868-08:00,2024-01-25T06:44:50.93-08:00,62,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,37,25,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,d0ee375d860cb6fc1ae130939e410288,2,d0ee375d860cb6fc1ae130939e410288,1
01b1e81b-0001-9d98-0005-17a2000204b6,SELECT SYSTEM$SHOW_APPLICATION_INSTANCES(),10,CITIBIKE,3,PUBLIC,SELECT,1433359435800798,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:47:41.498-08:00,2024-01-25T05:47:41.529-08:00,31,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,ff351d19bd17492cd9e6e7eb88841803,2,ff351d19bd17492cd9e6e7eb88841803,1
01b1e81b-0001-9e31-0005-17a20002428a,show APPLICATIONS,,,,,SHOW,1433359435825254,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,,STANDARD,,,SUCCESS,,,2024-01-25T05:47:40.682-08:00,2024-01-25T05:47:40.785-08:00,103,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,82,21,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,,TRUE,0,0,0,0,0,ROLE,63fa60a02bb2157b4e2ea13cbaf672bd,2,63fa60a02bb2157b4e2ea13cbaf672bd,1
01b1e81b-0001-9eb2-0005-17a2000261c6,"select database_name, database_id, MAX(AVERAGE_DATABASE_BYTES) as database_bytes from snowflake.account_usage.database_storage_usage_history where usage_date >= '2024-01-18T00:00:00Z' and usage_date < '2024-01-26T00:00:00Z' group by 1,2 order by 3 desc limit 1000;",,,,,SELECT,1433359435825270,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,Large,STANDARD,1,,SUCCESS,,,2024-01-25T05:47:37.871-08:00,2024-01-25T05:47:39.111-08:00,1240,38455296,0.2549794962,0,0,0,1,0,0,0,0,0,11,754,0,0,189831610,237,1003,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,75,TRUE,0,0,0,0,0,ROLE,27d7efc15796ea04cc25d004d03b97c6,2,e244564a1f35f23986ef2b798b703b59,1
01b1e81b-0001-9eb2-0005-17a2000261ca,"select warehouse_name, warehouse_id, sum(credits_used) as credits from snowflake.account_usage.warehouse_metering_history where start_time >= TO_TIMESTAMP_LTZ('2024-01-18T00:00:00Z') and start_time < TO_TIMESTAMP_LTZ('2024-01-26T00:00:00Z') group by 1,2 order by 3 desc limit 1000;",,,,,SELECT,1433359435813058,NICKH,ACCOUNTADMIN,1,COMPUTE_WH,Large,STANDARD,1,,SUCCESS,,,2024-01-25T05:47:38.018-08:00,2024-01-25T05:47:38.631-08:00,613,203911680,0,0,0,0,2,0,0,0,0,0,40,40,0,0,393048,217,396,0,0,0,0,,,0,,,0,0,0,8.3.1,0,0,0,0,0,100,TRUE,0,0,0,0,0,ROLE,e49ed7a227901444c00930dd287e695b,2,e49ed7a227901444c00930dd287e695b,1
